2017-04-19 08:27:46.32 :COMMITMENT	 QWERT and dfghj
2017-04-19 08:27:46.342 :GIFTING	 IOPAS gifted abcde gifts of total price 287. Essential: 14, Luxury: 13, Utility: 13
2017-04-19 08:27:46.342 :GIFTING	 WERTY gifted jklmn gifts of total price 360. Essential: 15, Luxury: 15, Utility: 15
2017-04-19 08:27:46.342 :GIFTING	 TYUIO gifted wxyzq gifts of total price 477. Essential: 18, Luxury: 17, Utility: 17
2017-04-19 08:27:46.342 :GIFTING	 YUIOP gifted stuvw gifts of total price 92. Essential: 8, Luxury: 7, Utility: 7
2017-04-19 08:27:46.342 :GIFTING	 ERTYU gifted zxvbn gifts of total price 234. Essential: 12, Luxury: 12, Utility: 12
2017-04-19 08:27:46.342 :GIFTING	 OPASD gifted lzxvb gifts of total price 330. Essential: 15, Luxury: 15, Utility: 14
2017-04-19 08:27:46.342 :BREAKUP	 RTYUI and hijkl
2017-04-19 08:27:46.343 :BREAKUP	 PASDF and bcdef
2017-04-19 08:27:46.343 :BREAKUP	 SDFGH and vwxyz
2017-04-19 08:27:46.343 :BREAKUP	 UIOPA and tyuio
2017-04-19 08:27:46.343 :BREAKUP	 QWERT and dfghj
2017-04-19 08:27:46.343 :COMMITMENT	 RTYUI and werty
2017-04-19 08:27:46.343 :COMMITMENT	 PASDF and dfghj
2017-04-19 08:27:46.344 :COMMITMENT	 SDFGH and bnmqw
2017-04-19 08:27:46.344 :COMMITMENT	 UIOPA and fghij
2017-04-19 08:27:46.344 :COMMITMENT	 QWERT and bcdef
2017-04-19 08:27:46.344 :GIFTING	 RTYUI gifted werty gifts of total price 360. Essential: 15, Luxury: 15, Utility: 15
2017-04-19 08:27:46.344 :GIFTING	 PASDF gifted dfghj gifts of total price 392. Essential: 16, Luxury: 17, Utility: 15
2017-04-19 08:27:46.344 :GIFTING	 SDFGH gifted bnmqw gifts of total price 155. Essential: 10, Luxury: 10, Utility: 9
2017-04-19 08:27:46.344 :GIFTING	 UIOPA gifted fghij gifts of total price 165. Essential: 10, Luxury: 11, Utility: 10
2017-04-19 08:27:46.344 :GIFTING	 QWERT gifted bcdef gifts of total price 477. Essential: 18, Luxury: 17, Utility: 17
2017-04-19 08:27:46.344 :GIFTING	 IOPAS gifted abcde gifts of total price 287. Essential: 14, Luxury: 13, Utility: 13
2017-04-19 08:27:46.344 :GIFTING	 WERTY gifted jklmn gifts of total price 360. Essential: 15, Luxury: 15, Utility: 15
2017-04-19 08:27:46.345 :GIFTING	 TYUIO gifted wxyzq gifts of total price 477. Essential: 18, Luxury: 17, Utility: 17
2017-04-19 08:27:46.345 :GIFTING	 YUIOP gifted stuvw gifts of total price 92. Essential: 8, Luxury: 7, Utility: 7
2017-04-19 08:27:46.345 :GIFTING	 ERTYU gifted zxvbn gifts of total price 234. Essential: 12, Luxury: 12, Utility: 12
2017-04-19 08:27:46.345 :GIFTING	 OPASD gifted lzxvb gifts of total price 330. Essential: 15, Luxury: 15, Utility: 14
2017-04-19 08:27:46.345 :BREAKUP	 QWERT and bcdef
2017-04-19 08:27:46.345 :BREAKUP	 RTYUI and werty
2017-04-19 08:27:46.346 :BREAKUP	 SDFGH and bnmqw
2017-04-19 08:27:46.346 :BREAKUP	 UIOPA and fghij
2017-04-19 08:27:46.346 :BREAKUP	 PASDF and dfghj
2017-04-19 08:27:46.346 :COMMITMENT	 QWERT and dfghj
2017-04-19 08:27:46.347 :COMMITMENT	 RTYUI and hijkl
2017-04-19 08:27:46.347 :COMMITMENT	 SDFGH and vwxyz
2017-04-19 08:27:46.347 :COM
